"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"562","n12GR25xRG20B","n12GR25xRG20B","11/5/2015","12","12","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",65.4,4.6724275218957
"581","n12GRAxGRA","n12GRAxGRA","4/2/2015","12","12","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",1000,"Observed",46.7,2.67739071721547
"602","n12GRxGRA","n12GRxGRA","11/12/2014","12","12","43","GRmix","GRmixA","GRxGR","Gos","F"," TRUE"," 2","GRxGRA",1000,"Observed",26.2,2.19089023002066
"628","n12GRxRG20A","n12GRxRG20A","10/6/2015","12","12","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 1","GRxRG20A",1000,"Observed",210.45,7.7219782030527
"642","n12RG20xGR13","n12RG20xGR13","9/24/2015","12","12","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",1000,"Observed",17.05,3.06894461543893
"707","n12RG33xGR13","n12RG33xGR13","10/1/2015","12","12","46","RG33","GR13A","RGxGR","Echo","F","FALSE"," 0","RG33xGR13A",1000,"Observed",173.9,4.20400811256666
"719","n13GR25xRG20B","n13GR25xRG20B","11/5/2015","13","13","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",61.2,5.95244310744491
"742","n13GRAxGRA","n13GRAxGRA","4/2/2015","13","13","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",1000,"Observed",30.55,4.19868400435435
"762","n13GRAxRG20","n13GRAxRG20","9/29/2015","13","13","41","GRA","RG20","GRxRG","Echo","F","FALSE"," 0","GRAxRG20",1000,"Observed",72.85,4.2087002619261
"782","n13GRBxGR13","n13GRBxGR13","12/4/2014","13"," 1","44","GRmixB","GR13","GRxGR","Gos","M","FALSE"," 0","GRBxGR13",1000,"Observed",154.75,6.87386354243376
"796","n13GRxGRA","n13GRxGRA","11/12/2014","13","13","43","GRmix","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",1000,"Observed",27.35,2.8704483420209
"803","n13GRxRG20A","n13GRxRG20A","10/6/2015","13","13","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 1","GRxRG20A",1000,"Observed",197.65,6.93788227965247
"913","n13RG20xGR13","n13RG20xGR13","9/24/2015","13","13","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 6","RG20xGR13",1000,"Observed",34.65,3.0135658193191
"943","n13RG33xGR13","n13RG33xGR13","10/1/2015","13","13","46","RG33","GR13A","RGxGR","Echo","M","FALSE"," 0","RG33xGR13A",1000,"Observed",115.95,9.31594558299173
"955","n14GR25xRG20B","n14GR25xRG20B","11/5/2015","14","14","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",1000,"Observed",114.4,6.44327474764845
"974","n14GRAxGR13","n14GRAxGR13","11/19/2014","14"," 8","43","GRmixA","GR13","GRxGR","Gos","F","FALSE"," 0","GRAxGR13",1000,"Observed",35.65,4.80432918807282
"991","n14GRAxGRA","n14GRAxGRA","4/2/2015","14","14","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",1000,"Observed",58.65,5.20399643998422
"1007","n14GRAxRG20","n14GRAxRG20","9/29/2015","14","14","41","GRA","RG20","GRxRG","Echo","F","FALSE"," 0","GRAxRG20",1000,"Observed",16.65,2.88872581636009
"1045","n14GRBxGR13","n14GRBxGR13","12/4/2014","14"," 2","44","GRmixB","GR13","GRxGR","Gos","M","FALSE"," 0","GRBxGR13",1000,"Observed",113.95,4.75145407106853
"1057","n14GRxGRA","n14GRxGRA","12/9/2014","14","14","42","GR","GRmixA","GRxGR","Gos","F"," TRUE"," 3","GRxGRA",1000,"Observed",10.3,2.65766022936282
"1081","n14GRxRG20A","n14GRxRG20A","10/6/2015","14","14","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 3","GRxRG20A",1000,"Observed",68.25,2.88142873917565
"1089","n14RG20xGR13","n14RG20xGR13","9/24/2015","14","14","41","RG20","GR13","RGxGR","Echo","F","FALSE"," 0","RG20xGR13",1000,"Observed",32.5,4.79583152331272
"1122","n14RG33xGR13","n14RG33xGR13","10/1/2015","14","14","46","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 1","RG33xGR13A",1000,"Observed",130.05,8.02282926863611
"1138","n15GR25xRG20B","n15GR25xRG20B","11/5/2015","15","15","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",147.35,6.00241179597177
"1149","n15GRAxGR13","n15GRAxGR13","11/19/2014","15"," 9","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",1000,"Observed",52.85,5.07081432264452
"1160","n15GRAxGRA","n15GRAxGRA","4/2/2015","15","15","44","GRA","GRA","GRxGR","Gos","F","FALSE"," 0","GRAxGRA",1000,"Observed",118.9,6.44735767990512
"1187","n15GRAxRG20","n15GRAxRG20","9/29/2015","15","15","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",1000,"Observed",192.2,7.76361283234335
"1205","n15GRBxGR13","n15GRBxGR13","12/4/2014","15"," 3","44","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",26.95,3.60518632265416
"1251","n15GRxGRA","n15GRxGRA","12/9/2014","15","15","42","GR","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",1000,"Observed",17.45,2.72367785404801
"1272","n15GRxRG20A","n15GRxRG20A","10/6/2015","15","15","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 6","GRxRG20A",1000,"Observed",223.7,6.79086073143046
"1288","n15RG20xGR13","n15RG20xGR13","9/24/2015","15","15","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 1","RG20xGR13",1000,"Observed",33.65,3.82890667368499
"1323","n15RG33xGR13","n15RG33xGR13","10/1/2015","15","15","46","RG33","GR13A","RGxGR","Echo",NA,"FALSE"," 0","RG33xGR13A",1000,"Observed",127.05,5.88910680386834
"1335","n16GR25xRG20B","n16GR25xRG20B","11/5/2015","16","16","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",183.7,6.41626223378001
"1350","n16GRAxGR13","n16GRAxGR13","11/19/2014","16","10","43","GRmixA","GR13","GRxGR","Gos","F"," TRUE"," 2","GRAxGR13",1000,"Observed",29.1,3.07622461708128
"1378","n16GRAxGRA","n16GRAxGRA","4/2/2015","16","16","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",1000,"Observed",213.5,8.25577947481897
"1394","n16GRAxRG20","n16GRAxRG20","9/29/2015","16","16","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",1000,"Observed",56.05,3.36350381220787
"1411","n16GRxGRA","n16GRxGRA","12/9/2014","16","16","42","GR","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",1000,"Observed",75.45,2.83725219182222
"1419","n16GRxRG20A","n16GRxRG20A","10/6/2015","16","16","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 3","GRxRG20A",1000,"Observed",93.15,7.65214108324557
"1448","n16RG20xGR13","n16RG20xGR13","9/24/2015","16","16","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 6","RG20xGR13",1000,"Observed",31,2.79096285969744
"1475","n16RG33xGR13","n16RG33xGR13","10/1/2015","16","16","46","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 1","RG33xGR13A",1000,"Observed",167.95,7.52871695226806
"1501","n17GRAxGR13","n17GRAxGR13","11/19/2014","17","11","43","GRmixA","GR13","GRxGR","Gos","F","FALSE"," 0","GRAxGR13",1000,"Observed",64.5,5.06276396322882
"1521","n17GRAxRG20","n17GRAxRG20","9/29/2015","17","17","41","GRA","RG20","GRxRG","Echo",NA," TRUE"," 7","GRAxRG20",1000,"Observed",18.3,3.81272108936166
"1553","n17GRxGRA","n17GRxGRA","12/9/2014","17","17","42","GR","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",1000,"Observed",51.85,5.49904297893829
"1590","n17GRxRG20A","n17GRxRG20A","10/6/2015","17","17","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 2","GRxRG20A",1000,"Observed",44.5,2.50263019536184
"1597","n17RG20xGR13","n17RG20xGR13","9/24/2015","17","17","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 3","RG20xGR13",1000,"Observed",34.5,3.36389498553154
"1613","n17RG33xGR13","n17RG33xGR13","10/1/2015","17","17","46","RG33","GR13A","RGxGR","Echo","F"," TRUE"," 7","RG33xGR13A",1000,"Observed",36,4.26737932644726
"1640","n18GR25xRG20B","n18GR25xRG20B","11/5/2015","18","18","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",259.35,7.40749975575963
"1653","n18GRAxGRA","n18GRAxGRA","2/4/2015","18"," 2","43","GRmixA","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",1000,"Observed",51.4,7.5351806460377
"1709","n18GRBxGR13","n18GRBxGR13","12/4/2014","18"," 6","44","GRmixB","GR13","GRxGR","Gos","M","FALSE"," 0","GRBxGR13",1000,"Observed",112.05,4.52449473771149
"1718","n18GRxGRA","n18GRxGRA","12/9/2014","18","10","42","GR","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",1000,"Observed",54.15,3.71731368768249
"1730","n18GRxRG20A","n18GRxRG20A","10/6/2015","18","18","42","GR","RG20A","GRxRG","Echo",NA," TRUE"," 5","GRxRG20A",1000,"Observed",132.6,7.19210093015064
"1764","n18RG20xGR13","n18RG20xGR13","9/24/2015","18","18","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 1","RG20xGR13",1000,"Observed",48.7,5.30243241104346
"1807","n18RG33xGR13","n18RG33xGR13","10/1/2015","18","18","46","RG33","GR13A","RGxGR","Echo","M"," TRUE","15","RG33xGR13A",1000,"Observed",35.2,4.22523745829123
"1830","n19GR25xRG20B","n19GR25xRG20B","11/5/2015","19","19","42","GR25","RG20B","GRxRG","Echo","M"," TRUE"," 9","GR25xRG20B",1000,"Observed",75.35,5.66870448394656
"1845","n19GRAxGRA","n19GRAxGRA","2/4/2015","19"," 3","43","GRmixA","GRmixA","GRxGR","Gos","F"," TRUE"," 3","GRAxGRA",1000,"Observed",13.3,1.97617386833617
"1868","n19GRAxRG20","n19GRAxRG20","10/1/2015","19","19","43","GRA","RG20","GRxRG","Echo","M"," TRUE"," 1","GRAxRG20",1000,"Observed",101.05,5.60521373835393
"1880","n19GRBxGR13","n19GRBxGR13","12/4/2014","19"," 7","44","GRmixB","GR13","GRxGR","Gos","M"," TRUE"," 2","GRBxGR13",1000,"Observed",216.95,6.93939933696676
"1893","n19GRxGRA","n19GRxGRA","12/9/2014","19","11","42","GR","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",1000,"Observed",33.6,3.99209745688443
"1906","n19GRxRG20A","n19GRxRG20A","10/6/2015","19","19","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 3","GRxRG20A",1000,"Observed",84.85,5.96723509984667
"1922","n19RG20xGR13","n19RG20xGR13","9/24/2015","19","19","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 2","RG20xGR13",1000,"Observed",57.15,3.4070360633316
"1954","n19RG33xGR13","n19RG33xGR13","9/29/2015","19","19","44","RG33","GR13A","RGxGR","Echo","M","FALSE"," 0","RG33xGR13A",1000,"Observed",167.65,7.30735030096769
"1968","n1GR25xRG20B","n1GR25xRG20B","11/5/2015"," 1"," 1","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",36.1,5.03566229376456
"2005","n1GRAxGR13","n1GRAxGR13","11/12/2014"," 1"," 1","43","GRmixA","GR13","GRxGR","Gos","M"," TRUE"," 2","GRAxGR13",1000,"Observed",39.4,4.30910907875765
"2020","n1GRAxGRA","n1GRAxGRA","4/2/2015"," 1"," 1","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 1","GRAxGRA",1000,"Observed",47.4,2.76062540587798
"2030","n1GRAxRG20","n1GRAxRG20","9/29/2015"," 1"," 1","41","GRA","RG20","GRxRG","Echo","M"," TRUE"," 2","GRAxRG20",1000,"Observed",63.65,6.08081538853743
"2062","n1GRBxGR13","n1GRBxGR13","12/3/2014"," 1"," 1","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 3","GRBxGR13",1000,"Observed",29.2,4.77493455452533
"2093","n1GRxGRA","n1GRxGRA","12/10/2014"," 1"," 1","43","GR","GRmixA","GRxGR","Gos","F"," TRUE"," 2","GRxGRA",1000,"Observed",25.1,3.14391643119148
"2106","n1GRxGRnum2","n1GRxGRnum2","1/7/2015"," 1"," 1","43","GR","GR#2","GRxGR","Gos","M","FALSE"," 0","GRxGRnum2",1000,"Observed",53.75,4.01149663631392
"2114","n1GRxRG20A","n1GRxRG20A","10/6/2015"," 1"," 1","42","GR","RG20A","GRxRG","Echo","M"," TRUE","10","GRxRG20A",1000,"Observed",129.3,6.45714618404333
"2134","n1RG20xGR13","n1RG20xGR13","9/24/2015"," 1"," 1","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 5","RG20xGR13",1000,"Observed",62.8,3.70774438453524
"2145","n1RG27xGR27","n1RG27xGR27","12/10/2014"," 1"," 7","43","RG27","GR27","RGxGR","Gos","F","FALSE"," 0","RG27xGR27",1000,"Observed",77.25,5.54289493049673
"2173","n1RG33xGR13","n1RG33xGR13","10/1/2015"," 1"," 1","46","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 1","RG33xGR13A",1000,"Observed",185.3,7.08668135530158
"2189","n20GR25xRG20B","n20GR25xRG20B","11/5/2015","20","20","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",1000,"Observed",16.15,3.51350776889781
"2210","n20GRAxGRA","n20GRAxGRA","2/4/2015","20"," 4","43","GRmixA","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRAxGRA",1000,"Observed",39.75,4.95107643798163
"2273","n20GRBxGR13","n20GRBxGR13","12/4/2014","20"," 8","44","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",23.1,2.78907643646083
"2293","n20GRxGRA","n20GRxGRA","12/9/2014","20","12","42","GR","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",1000,"Observed",66.85,5.99363697687192
"2316","n20GRxRG20A","n20GRxRG20A","10/6/2015","20","20","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 4","GRxRG20A",1000,"Observed",179.5,10.5805183436849
"2339","n20RG20xGR13","n20RG20xGR13","9/25/2015","20"," 1","42","RG20","GR13","RGxGR","Echo","M","FALSE"," 0","RG20xGR13",1000,"Observed",53.25,3.40085128661696
"2351","n20RG33xGR13","n20RG33xGR13","9/29/2015","20","20","44","RG33","GR13A","RGxGR","Echo","F"," TRUE"," 1","RG33xGR13A",1000,"Observed",38.15,2.73909320377153
"2359","n21GR25xRG20B","n21GR25xRG20B","11/6/2015","21"," 1","42","GR25","RG20B","GRxRG","Echo","M"," TRUE"," 2","GR25xRG20B",1000,"Observed",289.3,9.25714517775892
"2396","n21GRAxRG20","n21GRAxRG20","10/1/2015","21","21","43","GRA","RG20","GRxRG","Echo","M"," TRUE"," 1","GRAxRG20",1000,"Observed",107.55,8.1465200836728
"2411","n21GRBxGR13","n21GRBxGR13","12/4/2014","21"," 9","44","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",140,8.61455316982776
"2445","n21GRxRG20A","n21GRxRG20A","10/6/2015","21","21","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 2","GRxRG20A",1000,"Observed",83.1,5.95509512054483
"2475","n21RG20xGR13","n21RG20xGR13","9/25/2015","21"," 2","42","RG20","GR13","RGxGR","Echo","M"," TRUE"," 9","RG20xGR13",1000,"Observed",43.1,5.80290308470909
"2512","n21RG33xGR13","n21RG33xGR13","9/29/2015","21","21","44","RG33","GR13A","RGxGR","Echo","F","FALSE"," 0","RG33xGR13A",1000,"Observed",244.15,6.50728336881876
"2541","n22GR25xRG20B","n22GR25xRG20B","11/6/2015","22"," 2","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",172.95,6.36995414343571
"2564","n22GRAxGRA","n22GRAxGRA","2/4/2015","22"," 6","43","GRmixA","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",1000,"Observed",78.05,4.32221921556143
"2587","n22GRxRG20A","n22GRxRG20A","10/6/2015","22","22","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 3","GRxRG20A",1000,"Observed",72.1,7.16644226494863
"2624","n22RG33xGR13","n22RG33xGR13","9/29/2015","22","22","44","RG33","GR13A","RGxGR","Echo","M","FALSE"," 0","RG33xGR13A",1000,"Observed",151.85,7.13239459309277
"2639","n23GR25xRG20B","n23GR25xRG20B","11/6/2015","23"," 3","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",1000,"Observed",52.25,3.79577327258124
"2650","n23GRAxRG20","n23GRAxRG20","10/1/2015","23","23","43","GRA","RG20","GRxRG","Echo","M"," TRUE"," 1","GRAxRG20",1000,"Observed",204.95,6.89374239513824
"2672","n23GRxRG20A","n23GRxRG20A","10/6/2015","23","23","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 2","GRxRG20A",1000,"Observed",156.95,7.22186008988645
"2692","n23RG20xGR13","n23RG20xGR13","9/25/2015","23"," 4","42","RG20","GR13","RGxGR","Echo","M"," TRUE"," 5","RG20xGR13",1000,"Observed",30.05,3.25212481148459
"2707","n23RG33xGR13","n23RG33xGR13","9/29/2015","23","23","44","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 0","RG33xGR13A",1000,"Observed",137.2,6.21204263380497
"2719","n24GR25xRG20B","n24GR25xRG20B","11/6/2015","24"," 4","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",90.4,6.16782824527061
"2755","n24GRAxRG20","n24GRAxRG20","10/1/2015","24","24","43","GRA","RG20","GRxRG","Echo","M"," TRUE","12","GRAxRG20",1000,"Observed",257.1,7.12224092470015
"2780","n24RG20xGR13","n24RG20xGR13","9/25/2015","24"," 5","42","RG20","GR13","RGxGR","Echo","F"," TRUE"," 1","RG20xGR13",1000,"Observed",32.25,3.62556710627527
"2802","n24RG33xGR13","n24RG33xGR13","9/29/2015","24","24","44","RG33","GR13A","RGxGR","Echo","F","FALSE"," 0","RG33xGR13A",1000,"Observed",170.65,5.53719480565651
"2832","n25GR25xRG20B","n25GR25xRG20B","11/6/2015","25"," 5","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",1000,"Observed",115.6,5.95067444209389
"2847","n25GRBxGR13","n25GRBxGR13","12/9/2014","25"," 3","42","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",49.65,3.37599887752538
"2860","n25GRxRG20A","n25GRxRG20A","10/6/2015","25","25","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 3","GRxRG20A",1000,"Observed",212.55,7.0894658695694
"2872","n25RG20xGR13","n25RG20xGR13","9/25/2015","25"," 6","42","RG20","GR13","RGxGR","Echo","F","FALSE"," 0","RG20xGR13",1000,"Observed",101.65,5.44131369586813
"2885","n25RG33xGR13","n25RG33xGR13","9/29/2015","25","25","44","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 0","RG33xGR13A",1000,"Observed",31.15,5.37317900609862
"2980","n26GR25xRG20B","n26GR25xRG20B","11/6/2015","26"," 6","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",105.55,5.97780984360625
"3011","n26GRAxRG20","n26GRAxRG20","10/1/2015","26","26","43","GRA","RG20","GRxRG","Echo","F"," TRUE"," 5","GRAxRG20",1000,"Observed",223.25,8.98463600879447
"3022","n26GRBxGR13","n26GRBxGR13","12/9/2014","26"," 4","42","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",27.3,2.02874085917453
"3034","n26GRxRG20A","n26GRxRG20A","10/6/2015","26","26","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 2","GRxRG20A",1000,"Observed",35.25,2.02289526747133
"3041","n26RG20xGR13","n26RG20xGR13","9/25/2015","26"," 7","42","RG20","GR13","RGxGR","Echo","M","FALSE"," 0","RG20xGR13",1000,"Observed",29.85,4.18361465469125
"3067","n26RG33xGR13","n26RG33xGR13","9/29/2015","26","26","44","RG33","GR13A","RGxGR","Echo","F","FALSE"," 0","RG33xGR13A",1000,"Observed",90.5,3.73461757360143
"3074","n27GR25xRG20B","n27GR25xRG20B","11/6/2015","27"," 7","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",201.25,5.6556911253412
"3090","n27GRAxRG20","n27GRAxRG20","10/1/2015","27","27","43","GRA","RG20","GRxRG","Echo","M"," TRUE"," 5","GRAxRG20",1000,"Observed",155.45,5.88910680386834
"3105","n27GRBxGR13","n27GRBxGR13","12/9/2014","27"," 5","42","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",100.3,6.01839286118636
"3121","n27GRxRG20A","n27GRxRG20A","10/6/2015","27","27","42","GR","RG20A","GRxRG","Echo","M","FALSE"," 0","GRxRG20A",1000,"Observed",132,6.64117934992684
"3145","n27RG33xGR13","n27RG33xGR13","9/29/2015","27","27","44","RG33","GR13A","RGxGR","Echo","M","FALSE"," 0","RG33xGR13A",1000,"Observed",77.15,7.50631313243094
"3173","n28GR25xRG20B","n28GR25xRG20B","11/6/2015","28"," 8","42","GR25","RG20B","GRxRG","Echo","F"," TRUE"," 1","GR25xRG20B",1000,"Observed",18.1,2.86356421265527
"3191","n28GRAxRG20","n28GRAxRG20","10/1/2015","28","28","43","GRA","RG20","GRxRG","Echo","M"," TRUE"," 3","GRAxRG20",1000,"Observed",195.45,6.32018487404485
"3204","n28GRxRG20A","n28GRxRG20A","10/6/2015","28","28","42","GR","RG20A","GRxRG","Echo","M","FALSE"," 0","GRxRG20A",1000,"Observed",236.1,8.34707638700679
"3231","n28RG33xGR13","n28RG33xGR13","9/29/2015","28","28","44","RG33","GR13A","RGxGR","Echo","F"," TRUE"," 6","RG33xGR13A",1000,"Observed",74.85,6.42589334358717
"3255","n29GR25xRG20B","n29GR25xRG20B","11/6/2015","29"," 9","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",88.45,7.66039026077447
"3302","n29GRAxRG20","n29GRAxRG20","10/1/2015","29","29","43","GRA","RG20","GRxRG","Echo","M","FALSE"," 0","GRAxRG20",1000,"Observed",141.55,8.00969806908442
"3325","n29GRBxGR13","n29GRBxGR13","12/9/2014","29"," 7","42","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",1000,"Observed",27.5,3.3166247903554
"3341","n29GRxRG20A","n29GRxRG20A","10/6/2015","29","29","42","GR","RG20A","GRxRG","Echo","F","FALSE"," 0","GRxRG20A",1000,"Observed",237.3,8.56615125761979
"3354","n29RG20xGR13","n29RG20xGR13","9/25/2015","29","10","42","RG20","GR13","RGxGR","Echo","F"," TRUE"," 2","RG20xGR13",1000,"Observed",42.9,3.80995924829705
"3368","n29RG33xGR13","n29RG33xGR13","9/29/2015","29","29","44","RG33","GR13A","RGxGR","Echo","M","FALSE"," 0","RG33xGR13A",1000,"Observed",198.25,10.3663169117961
