"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"7","n10GR25xRG20B","n10GR25xRG20B","11/5/2015","10","10","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",1000,"Observed",36.1,4.14093810881697
"34","n10GRAxGR13","n10GRAxGR13","11/19/2014","10"," 4","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",1000,"Observed",29.55,3.31622804117157
"50","n10GRAxGRA","n10GRAxGRA","4/2/2015","10","10","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 1","GRAxGRA",1000,"Observed",31.3,3.82650039372243
"90","n10GRAxRG20","n10GRAxRG20","9/29/2015","10","10","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 1","GRAxRG20",1000,"Observed",117.25,9.04302580939995
"114","n10GRBxGR13","n10GRBxGR13","12/3/2014","10","10","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",1000,"Observed",40.55,4.00624512480203
"131","n10GRxGRA","n10GRxGRA","11/12/2014","10","10","43","GRmix","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",1000,"Observed",62.5,5.25657483037847
"241","n10GRxRG20A","n10GRxRG20A","10/6/2015","10","10","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 8","GRxRG20A",1000,"Observed",37.45,4.78456949611539
"274","n10RG20xGR13","n10RG20xGR13","9/24/2015","10","10","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 4","RG20xGR13",1000,"Observed",19.15,2.43386199496321
"298","n10RG27xGR27","n10RG27xGR27","12/10/2014","10","16","43","RG27","GR27","RGxGR","Gos","F","FALSE"," 0","RG27xGR27",1000,"Observed",78.6,3.39349222390213
"305","n10RG33xGR13","n10RG33xGR13","10/1/2015","10","10","46","RG33","GR13A","RGxGR","Echo","F","FALSE"," 0","RG33xGR13A",1000,"Observed",46.85,2.73909320377153
"314","n11GR25xRG20B","n11GR25xRG20B","11/5/2015","11","11","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",1000,"Observed",19.8,2.21478286924356
"383","n11GRAxGR13","n11GRAxGR13","11/19/2014","11"," 5","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",1000,"Observed",28.65,2.13430624744781
"390","n11GRAxGRA","n11GRAxGRA","4/2/2015","11","11","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 2","GRAxGRA",1000,"Observed",20.6,2.68328157299975
"419","n11GRAxRG20","n11GRAxRG20","9/29/2015","11","11","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",1000,"Observed",90.35,6.30183766013826
"439","n11GRBxGR13","n11GRBxGR13","12/3/2014","11","11","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",1000,"Observed",29.85,3.4070360633316
"469","n11GRxGRA","n11GRxGRA","11/12/2014","11","11","43","GRmix","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",1000,"Observed",64.1,3.4928498393146
"487","n11GRxRG20A","n11GRxRG20A","10/6/2015","11","11","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 5","GRxRG20A",1000,"Observed",143.4,5.43284359002578
"534","n11RG20xGR13","n11RG20xGR13","9/24/2015","11","11","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",1000,"Observed",31.9,3.50788585303096
"553","n11RG33xGR13","n11RG33xGR13","10/1/2015","11","11","46","RG33","GR13A","RGxGR","Echo",NA,"FALSE"," 0","RG33xGR13A",1000,"Observed",96.95,4.68452098320685
