gene	Gene.ontology.IDs
ENSGACT00000017890.1	GO:0000226;GO:0000278;GO:0000922;GO:0004722;GO:0004725;GO:0005730;GO:0005737;GO:0005813;GO:0007096;GO:0008138;GO:0032467;GO:0051301;GO:0060091;GO:0071850;GO:0072686
ENSGACT00000011553.1	GO:0001816;GO:0003682;GO:0003713;GO:0004402;GO:0005634;GO:0005694;GO:0005737;GO:0005813;GO:0007507;GO:0007616;GO:0018393;GO:0043966;GO:0045589;GO:0045944;GO:0048167;GO:0050863;GO:0060173;GO:0061733;GO:0106077;GO:0106078
ENSGACT00000011546.1	GO:0001816;GO:0003682;GO:0003713;GO:0004402;GO:0005634;GO:0005694;GO:0005737;GO:0005813;GO:0007507;GO:0007616;GO:0018393;GO:0043966;GO:0045589;GO:0045944;GO:0048167;GO:0050863;GO:0060173;GO:0061733;GO:0106077;GO:0106078
ENSGACT00000016141.1	GO:0003677;GO:0005634;GO:0046872
ENSGACT00000010908.1	GO:0005886;GO:0010977;GO:0016021;GO:0030308;GO:0031397;GO:0032007
ENSGACT00000010402.1	GO:0005783;GO:0005794;GO:0006897;GO:0007605;GO:0016206;GO:0016323;GO:0031223;GO:0035315;GO:0042135;GO:0042424;GO:0048884;GO:0050974;GO:0060122;GO:0102084;GO:0102938
ENSGACT00000014632.1	GO:0016021
ENSGACT00000026443.1	GO:0002250;GO:0005886
ENSGACT00000017706.1	GO:0003779;GO:0016055;GO:0017048;GO:0021516;GO:0030036;GO:0048715;GO:0060828;GO:0090263;GO:2000050
ENSGACT00000005401.1	GO:0005179;GO:0005576;GO:0007218;GO:0030282;GO:0030500
ENSGACT00000022024.1	GO:0003779;GO:0005634;GO:0005737;GO:0005885;GO:0034314;GO:0035861
ENSGACT00000022022.1	GO:0003779;GO:0005634;GO:0005737;GO:0005885;GO:0034314;GO:0035861
ENSGACT00000022031.1	GO:0003779;GO:0005634;GO:0005737;GO:0005885;GO:0034314;GO:0035861
ENSGACT00000017363.1	GO:0003677;GO:0005634;GO:0005694;GO:0006211;GO:0006325;GO:0007275;GO:0008270;GO:0070579;GO:0080111
ENSGACT00000024324.2	GO:0007399;GO:0030424;GO:0030425;GO:0031410
ENSGACT00000021957.1	GO:0001525;GO:0001886;GO:0005886;GO:0016021;GO:0048514;GO:0071260
ENSGACT00000001077.1	GO:0001947;GO:0003140;GO:0004930;GO:0005886;GO:0005887;GO:0007186;GO:0007368;GO:0030030;GO:0061371;GO:0070121;GO:0071907;GO:0071910
ENSGACT00000025488.1	GO:0001947;GO:0003140;GO:0004930;GO:0005886;GO:0005887;GO:0007186;GO:0007368;GO:0030030;GO:0061371;GO:0070121;GO:0071907;GO:0071910
ENSGACT00000013294.1	GO:0001947;GO:0003140;GO:0004930;GO:0005886;GO:0005887;GO:0007186;GO:0007368;GO:0030030;GO:0061371;GO:0070121;GO:0071907;GO:0071910
ENSGACT00000011599.1	GO:0005634;GO:0006915;GO:0036459
ENSGACT00000007604.1	GO:0004842
ENSGACT00000020086.1	GO:0004842
ENSGACT00000007607.1	GO:0004842
ENSGACT00000008749.1	GO:0035035;GO:0043981;GO:0043982;GO:0043984;GO:0044545
ENSGACT00000025644.1	GO:0005496;GO:0005576
ENSGACT00000023241.1	GO:0005509;GO:0005544;GO:0005789;GO:0005887;GO:0006869;GO:0006897;GO:0008429;GO:0016020;GO:0031210;GO:0031227;GO:0031234;GO:0035091;GO:0042802;GO:0044232;GO:0045296;GO:0061817;GO:0140268
ENSGACT00000003065.1	GO:0005509;GO:0005544;GO:0005789;GO:0005887;GO:0006869;GO:0008429;GO:0031210;GO:0031227;GO:0031234;GO:0035091;GO:0044232;GO:0061817;GO:0140268
ENSGACT00000022772.1	GO:0003677;GO:0005634;GO:0007399;GO:0014029;GO:0046872
ENSGACT00000004844.1	GO:0003677;GO:0005634;GO:0007399;GO:0014029;GO:0046872
ENSGACT00000018210.1	GO:0005737;GO:0005874
ENSGACT00000014937.1	GO:0005814;GO:0005929;GO:0034451;GO:0061511;GO:0071539;GO:1905515
ENSGACT00000014948.1	GO:0005814;GO:0005929;GO:0034451;GO:0061511;GO:0071539;GO:1905515
ENSGACT00000017039.1	GO:0000381;GO:0003723;GO:0003729;GO:0005634;GO:0005737;GO:0006376;GO:1990904
ENSGACT00000011112.2	
ENSGACT00000022156.1	GO:0001655;GO:0005654;GO:0007367;GO:0039003;GO:0039020;GO:0042981;GO:0044212;GO:0045893;GO:0048793;GO:1900212;GO:1900218;GO:2000611
ENSGACT00000022159.1	GO:0001655;GO:0005654;GO:0007367;GO:0039003;GO:0039020;GO:0042981;GO:0044212;GO:0045893;GO:0048793;GO:1900212;GO:1900218;GO:2000611
ENSGACT00000011185.1	GO:0003729;GO:0005737;GO:0007005;GO:0048312
ENSGACT00000019203.1	GO:0005245;GO:0005764;GO:0005765;GO:0006939;GO:0014866;GO:0016021;GO:0019722;GO:0034765;GO:0072345;GO:2000290
ENSGACT00000021135.1	GO:0005634
ENSGACT00000021133.1	GO:0005634
ENSGACT00000021131.1	GO:0005634
ENSGACT00000014031.1	GO:0003824;GO:0005737
ENSGACT00000001518.1	GO:0003697;GO:0010833;GO:0042162;GO:0045740;GO:1990879
ENSGACT00000020888.1	
ENSGACT00000026027.1	GO:0005737;GO:0005815;GO:0005819;GO:0005874;GO:0007098;GO:0051225;GO:0051301;GO:0070652
ENSGACT00000026024.1	GO:0005737;GO:0005815;GO:0005819;GO:0005874;GO:0007098;GO:0051225;GO:0051301;GO:0070652
ENSGACT00000022315.1	GO:0000978;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0006357;GO:0030154;GO:0031018;GO:0044212;GO:0050796;GO:0060285;GO:0060287
ENSGACT00000023848.1	GO:0005794;GO:0008643;GO:0015136;GO:0015165;GO:0030173
ENSGACT00000016684.1	GO:0004597;GO:0016021;GO:0042264
ENSGACT00000002198.1	GO:0005576
ENSGACT00000021011.1	GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0032543;GO:0032790
ENSGACT00000021009.1	GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0032543;GO:0032790
ENSGACT00000027355.1	GO:0005737;GO:0017137;GO:0047496;GO:0055107
ENSGACT00000027354.1	GO:0005737;GO:0017137;GO:0047496;GO:0055107
ENSGACT00000019067.1	GO:0005634;GO:0006260;GO:0006281;GO:0006334;GO:0007049;GO:0031497;GO:0033186
ENSGACT00000007601.1	GO:0004814;GO:0005524;GO:0006420
ENSGACT00000007396.1	GO:0004555;GO:0005618;GO:0005993;GO:0047402
ENSGACT00000013807.1	GO:0000463;GO:0000466;GO:0005654;GO:0030687;GO:0043021;GO:0051726;GO:0070545
ENSGACT00000013798.1	GO:0000463;GO:0000466;GO:0005654;GO:0030687;GO:0043021;GO:0051726;GO:0070545
ENSGACT00000021775.1	GO:0005634;GO:0005739;GO:0005794;GO:0005886;GO:0007049;GO:0008017
ENSGACT00000024632.1	GO:0005634;GO:0005739;GO:0005794;GO:0005886;GO:0007049;GO:0008017
ENSGACT00000001982.1	GO:0003677;GO:0003713;GO:0004843;GO:0005634;GO:0006338;GO:0008237;GO:0035522;GO:0036459;GO:0042393;GO:0045944;GO:0046872
ENSGACT00000001976.1	GO:0003677;GO:0003713;GO:0004843;GO:0005634;GO:0006338;GO:0008237;GO:0035522;GO:0036459;GO:0042393;GO:0045944;GO:0046872
ENSGACT00000010316.1	GO:0005737;GO:0036064;GO:0044458
ENSGACT00000000397.1	GO:0003700;GO:0005634;GO:0008270;GO:0016021
ENSGACT00000000394.2	GO:0003700;GO:0005634;GO:0008270;GO:0016021
ENSGACT00000017913.1	GO:0005634;GO:0005694;GO:0034773;GO:0042799
ENSGACT00000027117.1	GO:0000166;GO:0001635;GO:0001669;GO:0003899;GO:0005666;GO:0005886;GO:0006383;GO:0006384;GO:0007218;GO:0009360;GO:0045087;GO:0051607
