"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"12","n10GR25xRG20B","n10GR25xRG20B","11/5/2015","10","10","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",2000,"Observed",54.35,5.9318498046784
"39","n10GRAxGR13","n10GRAxGR13","11/19/2014","10"," 4","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",2000,"Observed",43.65,5.15317990738677
"55","n10GRAxGRA","n10GRAxGRA","4/2/2015","10","10","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 1","GRAxGRA",2000,"Observed",46.4,4.07043253876435
"95","n10GRAxRG20","n10GRAxRG20","9/29/2015","10","10","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 1","GRAxRG20",2000,"Observed",178.35,7.40749975575963
"119","n10GRBxGR13","n10GRBxGR13","12/3/2014","10","10","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",2000,"Observed",56.2,4.44380112303112
"136","n10GRxGRA","n10GRxGRA","11/12/2014","10","10","43","GRmix","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",2000,"Observed",90.05,3.96663718107868
"246","n10GRxRG20A","n10GRxRG20A","10/6/2015","10","10","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 8","GRxRG20A",2000,"Observed",66.5,7.46571109173555
"279","n10RG20xGR13","n10RG20xGR13","9/24/2015","10","10","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 4","RG20xGR13",2000,"Observed",31.05,4.87177693724947
"319","n11GR25xRG20B","n11GR25xRG20B","11/5/2015","11","11","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",2000,"Observed",34.15,4.56848471942054
"395","n11GRAxGRA","n11GRAxGRA","4/2/2015","11","11","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 2","GRAxGRA",2000,"Observed",30.65,4.41617839075228
"424","n11GRAxRG20","n11GRAxRG20","9/29/2015","11","11","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",2000,"Observed",134.75,6.67970216795866
"444","n11GRBxGR13","n11GRBxGR13","12/3/2014","11","11","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",2000,"Observed",49.85,5.76993113157843
"474","n11GRxGRA","n11GRxGRA","11/12/2014","11","11","43","GRmix","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",2000,"Observed",87.7,4.0275367945655
"492","n11GRxRG20A","n11GRxRG20A","10/6/2015","11","11","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 5","GRxRG20A",2000,"Observed",223.9,7.73848890458052
"539","n11RG20xGR13","n11RG20xGR13","9/24/2015","11","11","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",2000,"Observed",47.9,3.75429578511141
"567","n12GR25xRG20B","n12GR25xRG20B","11/5/2015","12","12","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",2000,"Observed",96.75,6.44715359470241
"607","n12GRxGRA","n12GRxGRA","11/12/2014","12","12","43","GRmix","GRmixA","GRxGR","Gos","F"," TRUE"," 2","GRxGRA",2000,"Observed",38,3.02620137083475
"633","n12GRxRG20A","n12GRxRG20A","10/6/2015","12","12","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 1","GRxRG20A",2000,"Observed",281.8,6.50991147162702
"647","n12RG20xGR13","n12RG20xGR13","9/24/2015","12","12","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",2000,"Observed",24.95,3.64872003512695
"712","n12RG33xGR13","n12RG33xGR13","10/1/2015","12","12","46","RG33","GR13A","RGxGR","Echo","F","FALSE"," 0","RG33xGR13A",2000,"Observed",218.3,4.94283106603578
"724","n13GR25xRG20B","n13GR25xRG20B","11/5/2015","13","13","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",2000,"Observed",92.95,4.5592589425545
"747","n13GRAxGRA","n13GRAxGRA","4/2/2015","13","13","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",2000,"Observed",47.1,5.17992074720921
"767","n13GRAxRG20","n13GRAxRG20","9/29/2015","13","13","41","GRA","RG20","GRxRG","Echo","F","FALSE"," 0","GRAxRG20",2000,"Observed",105.9,6.62451587108943
"787","n13GRBxGR13","n13GRBxGR13","12/4/2014","13"," 1","44","GRmixB","GR13","GRxGR","Gos","M","FALSE"," 0","GRBxGR13",2000,"Observed",217.9,6.64830805543786
