"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"15","n10GR25xRG20B","n10GR25xRG20B","11/5/2015","10","10","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",5000,"Observed",98.7,6.76674876797483
"42","n10GRAxGR13","n10GRAxGR13","11/19/2014","10"," 4","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",5000,"Observed",67,2.86744175568088
"58","n10GRAxGRA","n10GRAxGRA","4/2/2015","10","10","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 1","GRAxGRA",5000,"Observed",74.3,3.30151480384384
"98","n10GRAxRG20","n10GRAxRG20","9/29/2015","10","10","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 1","GRAxRG20",5000,"Observed",277.6,13.7372162795492
"122","n10GRBxGR13","n10GRBxGR13","12/3/2014","10","10","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",5000,"Observed",85.3,5.69697775628057
"139","n10GRxGRA","n10GRxGRA","11/12/2014","10","10","43","GRmix","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",5000,"Observed",137.2,7.22341870431015
"249","n10GRxRG20A","n10GRxRG20A","10/6/2015","10","10","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 8","GRxRG20A",5000,"Observed",113.7,4.21768762343644
"282","n10RG20xGR13","n10RG20xGR13","9/24/2015","10","10","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 4","RG20xGR13",5000,"Observed",54.3,4.05654478042035
"322","n11GR25xRG20B","n11GR25xRG20B","11/5/2015","11","11","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",5000,"Observed",65.9,4.60555220479706
"398","n11GRAxGRA","n11GRAxGRA","4/2/2015","11","11","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 2","GRAxGRA",5000,"Observed",54.9,4.1217579852399
"427","n11GRAxRG20","n11GRAxRG20","9/29/2015","11","11","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",5000,"Observed",205.4,7.61869046781955
"447","n11GRBxGR13","n11GRBxGR13","12/3/2014","11","11","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",5000,"Observed",84,3.97212509593766
"477","n11GRxGRA","n11GRxGRA","11/12/2014","11","11","43","GRmix","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",5000,"Observed",121.6,5.18973345494095
"495","n11GRxRG20A","n11GRxRG20A","10/6/2015","11","11","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 5","GRxRG20A",5000,"Observed",377,8.49836585598798
"542","n11RG20xGR13","n11RG20xGR13","9/24/2015","11","11","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",5000,"Observed",73.3,3.46570499481868
"610","n12GRxGRA","n12GRxGRA","11/12/2014","12","12","43","GRmix","GRmixA","GRxGR","Gos","F"," TRUE"," 2","GRxGRA",5000,"Observed",60.1,2.60128173535022
