"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"16","n10GR25xRG20B","n10GR25xRG20B","11/5/2015","10","10","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",6000,"Observed",115.3,6.66749994792318
"43","n10GRAxGR13","n10GRAxGR13","11/19/2014","10"," 4","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",6000,"Observed",68.1,3.07137319994385
"59","n10GRAxGRA","n10GRAxGRA","4/2/2015","10","10","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 1","GRAxGRA",6000,"Observed",81,4.24264068711928
"99","n10GRAxRG20","n10GRAxRG20","9/29/2015","10","10","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 1","GRAxRG20",6000,"Observed",301.2,10.3901662910444
"123","n10GRBxGR13","n10GRBxGR13","12/3/2014","10","10","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",6000,"Observed",89.3,3.68329562574967
"140","n10GRxGRA","n10GRxGRA","11/12/2014","10","10","43","GRmix","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",6000,"Observed",146.4,7.5306779981029
"250","n10GRxRG20A","n10GRxRG20A","10/6/2015","10","10","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 8","GRxRG20A",6000,"Observed",130.7,7.0087247215326
"283","n10RG20xGR13","n10RG20xGR13","9/24/2015","10","10","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 4","RG20xGR13",6000,"Observed",57,5.61743318211757
"323","n11GR25xRG20B","n11GR25xRG20B","11/5/2015","11","11","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",6000,"Observed",76.2,6.40832791503889
"399","n11GRAxGRA","n11GRAxGRA","4/2/2015","11","11","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 2","GRAxGRA",6000,"Observed",62.7,3.71333931776897
"428","n11GRAxRG20","n11GRAxRG20","9/29/2015","11","11","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",6000,"Observed",224.3,4.7152235719352
"448","n11GRBxGR13","n11GRBxGR13","12/3/2014","11","11","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",6000,"Observed",92.8,4.54116969758037
"478","n11GRxGRA","n11GRxGRA","11/12/2014","11","11","43","GRmix","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRxGRA",6000,"Observed",127.9,5.38413306753175
"496","n11GRxRG20A","n11GRxRG20A","10/6/2015","11","11","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 5","GRxRG20A",6000,"Observed",404.4,13.8017712228862
"543","n11RG20xGR13","n11RG20xGR13","9/24/2015","11","11","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",6000,"Observed",76.5,4.06201920231798
"611","n12GRxGRA","n12GRxGRA","11/12/2014","12","12","43","GRmix","GRmixA","GRxGR","Gos","F"," TRUE"," 2","GRxGRA",6000,"Observed",63,3.80058475033046
"651","n12RG20xGR13","n12RG20xGR13","9/24/2015","12","12","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 2","RG20xGR13",6000,"Observed",49.2,2.97396106975939
"728","n13GR25xRG20B","n13GR25xRG20B","11/5/2015","13","13","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",6000,"Observed",172.3,4.3728963196287
"751","n13GRAxGRA","n13GRAxGRA","4/2/2015","13","13","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",6000,"Observed",85.2,3.55277669185979
"771","n13GRAxRG20","n13GRAxRG20","9/29/2015","13","13","41","GRA","RG20","GRxRG","Echo","F","FALSE"," 0","GRAxRG20",6000,"Observed",176.8,8.74070935336486
"812","n13GRxRG20A","n13GRxRG20A","10/6/2015","13","13","42","GR","RG20A","GRxRG","Echo","F"," TRUE"," 1","GRxRG20A",6000,"Observed",579.2,18.3351514250027
"922","n13RG20xGR13","n13RG20xGR13","9/24/2015","13","13","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 6","RG20xGR13",6000,"Observed",80.7,5.25039681040078
"964","n14GR25xRG20B","n14GR25xRG20B","11/5/2015","14","14","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",6000,"Observed",279.3,9.20205291105076
"983","n14GRAxGR13","n14GRAxGR13","11/19/2014","14"," 8","43","GRmixA","GR13","GRxGR","Gos","F","FALSE"," 0","GRAxGR13",6000,"Observed",83,2.70801280154532
"1000","n14GRAxGRA","n14GRAxGRA","4/2/2015","14","14","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",6000,"Observed",127.8,5.5337349251859
"1016","n14GRAxRG20","n14GRAxRG20","9/29/2015","14","14","41","GRA","RG20","GRxRG","Echo","F","FALSE"," 0","GRAxRG20",6000,"Observed",55.8,4.51663591625448
"1066","n14GRxGRA","n14GRxGRA","12/9/2014","14","14","42","GR","GRmixA","GRxGR","Gos","F"," TRUE"," 3","GRxGRA",6000,"Observed",28.2,3.48966728754731
"1098","n14RG20xGR13","n14RG20xGR13","9/24/2015","14","14","41","RG20","GR13","RGxGR","Echo","F","FALSE"," 0","RG20xGR13",6000,"Observed",84,5.14241620684717
"1131","n14RG33xGR13","n14RG33xGR13","10/1/2015","14","14","46","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 1","RG33xGR13A",6000,"Observed",270.2,5.86515131944607
"1169","n15GRAxGRA","n15GRAxGRA","4/2/2015","15","15","44","GRA","GRA","GRxGR","Gos","F","FALSE"," 0","GRAxGRA",6000,"Observed",299.3,7.0087247215326
"1196","n15GRAxRG20","n15GRAxRG20","9/29/2015","15","15","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",6000,"Observed",451.9,7.53436571097174
"1214","n15GRBxGR13","n15GRBxGR13","12/4/2014","15"," 3","44","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",6000,"Observed",80.7,6.5328231093286
"1260","n15GRxGRA","n15GRxGRA","12/9/2014","15","15","42","GR","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",6000,"Observed",47.1,3.84274207652123
"1281","n15GRxRG20A","n15GRxRG20A","10/6/2015","15","15","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 6","GRxRG20A",6000,"Observed",411,7.81735959970572
"1297","n15RG20xGR13","n15RG20xGR13","9/24/2015","15","15","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 1","RG20xGR13",6000,"Observed",94.8,5.55377749324227
"1359","n16GRAxGR13","n16GRAxGR13","11/19/2014","16","10","43","GRmixA","GR13","GRxGR","Gos","F"," TRUE"," 2","GRAxGR13",6000,"Observed",67.9,4.88648931010575
"1387","n16GRAxGRA","n16GRAxGRA","4/2/2015","16","16","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",6000,"Observed",391.4,6.20394139953698
"1428","n16GRxRG20A","n16GRxRG20A","10/6/2015","16","16","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 3","GRxRG20A",6000,"Observed",244.6,7.76316086827181
"1457","n16RG20xGR13","n16RG20xGR13","9/24/2015","16","16","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 6","RG20xGR13",6000,"Observed",67,4.21637021355784
"1484","n16RG33xGR13","n16RG33xGR13","10/1/2015","16","16","46","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 1","RG33xGR13A",6000,"Observed",375,8.69226987360353
"1510","n17GRAxGR13","n17GRAxGR13","11/19/2014","17","11","43","GRmixA","GR13","GRxGR","Gos","F","FALSE"," 0","GRAxGR13",6000,"Observed",145.1,3.72528895225294
"1530","n17GRAxRG20","n17GRAxRG20","9/29/2015","17","17","41","GRA","RG20","GRxRG","Echo",NA," TRUE"," 7","GRAxRG20",6000,"Observed",57.6,3.27278338896895
"1562","n17GRxGRA","n17GRxGRA","12/9/2014","17","17","42","GR","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",6000,"Observed",134.8,5.51361950083609
"1606","n17RG20xGR13","n17RG20xGR13","9/24/2015","17","17","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 3","RG20xGR13",6000,"Observed",64.5,3.10017920628971
"1622","n17RG33xGR13","n17RG33xGR13","10/1/2015","17","17","46","RG33","GR13A","RGxGR","Echo","F"," TRUE"," 7","RG33xGR13A",6000,"Observed",118.1,6.62403032735945
"1662","n18GRAxGRA","n18GRAxGRA","2/4/2015","18"," 2","43","GRmixA","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",6000,"Observed",157.2,6.76264248155507
"1739","n18GRxRG20A","n18GRxRG20A","10/6/2015","18","18","42","GR","RG20A","GRxRG","Echo",NA," TRUE"," 5","GRxRG20A",6000,"Observed",300.2,13.4478416277276
"1773","n18RG20xGR13","n18RG20xGR13","9/24/2015","18","18","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 1","RG20xGR13",6000,"Observed",141.9,6.6407830863536
