"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"1167","n15GRAxGRA","n15GRAxGRA","4/2/2015","15","15","44","GRA","GRA","GRxGR","Gos","F","FALSE"," 0","GRAxGRA",4000,"Observed",252.1,8.22529972435993
"1194","n15GRAxRG20","n15GRAxRG20","9/29/2015","15","15","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 4","GRAxRG20",4000,"Observed",395.4,7.33636301052655
"1212","n15GRBxGR13","n15GRBxGR13","12/4/2014","15"," 3","44","GRmixB","GR13","GRxGR","Gos","F","FALSE"," 0","GRBxGR13",4000,"Observed",61.3,5.8509258526607
"1258","n15GRxGRA","n15GRxGRA","12/9/2014","15","15","42","GR","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",4000,"Observed",38.5,4.88193950529227
"1279","n15GRxRG20A","n15GRxRG20A","10/6/2015","15","15","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 6","GRxRG20A",4000,"Observed",376.4,11.0674698503718
"1295","n15RG20xGR13","n15RG20xGR13","9/24/2015","15","15","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 1","RG20xGR13",4000,"Observed",80.6,4.6475800154489
"1342","n16GR25xRG20B","n16GR25xRG20B","11/5/2015","16","16","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",4000,"Observed",316.1,8.06156863698926
"1357","n16GRAxGR13","n16GRAxGR13","11/19/2014","16","10","43","GRmixA","GR13","GRxGR","Gos","F"," TRUE"," 2","GRAxGR13",4000,"Observed",58.7,3.26768691550733
"1385","n16GRAxGRA","n16GRAxGRA","4/2/2015","16","16","44","GRA","GRA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",4000,"Observed",361.7,6.66749994792318
"1426","n16GRxRG20A","n16GRxRG20A","10/6/2015","16","16","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 3","GRxRG20A",4000,"Observed",203.3,6.42996457567571
"1455","n16RG20xGR13","n16RG20xGR13","9/24/2015","16","16","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 6","RG20xGR13",4000,"Observed",57.8,4.36653943835008
"1482","n16RG33xGR13","n16RG33xGR13","10/1/2015","16","16","46","RG33","GR13A","RGxGR","Echo","M"," TRUE"," 1","RG33xGR13A",4000,"Observed",320.6,11.2566030005109
"1508","n17GRAxGR13","n17GRAxGR13","11/19/2014","17","11","43","GRmixA","GR13","GRxGR","Gos","F","FALSE"," 0","GRAxGR13",4000,"Observed",124.1,6.26187760269323
"1528","n17GRAxRG20","n17GRAxRG20","9/29/2015","17","17","41","GRA","RG20","GRxRG","Echo",NA," TRUE"," 7","GRAxRG20",4000,"Observed",45.3,6.27251500153204
"1560","n17GRxGRA","n17GRxGRA","12/9/2014","17","17","42","GR","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",4000,"Observed",109.2,5.43241300999023
"1604","n17RG20xGR13","n17RG20xGR13","9/24/2015","17","17","41","RG20","GR13","RGxGR","Echo","F"," TRUE"," 3","RG20xGR13",4000,"Observed",58.1,3.17804971641414
"1620","n17RG33xGR13","n17RG33xGR13","10/1/2015","17","17","46","RG33","GR13A","RGxGR","Echo","F"," TRUE"," 7","RG33xGR13A",4000,"Observed",90,5.94418483337567
"1660","n18GRAxGRA","n18GRAxGRA","2/4/2015","18"," 2","43","GRmixA","GRmixA","GRxGR","Gos","M","FALSE"," 0","GRAxGRA",4000,"Observed",122.3,7.0087247215326
"1737","n18GRxRG20A","n18GRxRG20A","10/6/2015","18","18","42","GR","RG20A","GRxRG","Echo",NA," TRUE"," 5","GRxRG20A",4000,"Observed",257.2,8.66410218468519
